0;0;0;0;x;x;
1;0;0;0;WastelandBlack;x
2;219;136;153;alamarathate;x
3;239;171;21;dymegaon;x
4;216;187;52;megaleladia;x
5;92;68;50;methkaiiana;x
6;178;203;45;monastleonine;x
7;117;138;3;erythdimalis;x
8;177;190;31;decleate;x
9;247;217;5;antigdioslia;x
10;124;106;11;lekorinthrae;x
11;155;84;40;golknidae;x
12;58;149;26;ialymaus;x
13;94;155;67;hagigotiri;x
14;238;235;6;olyeretinon;x
15;87;225;26;dorykimmerdus;x
16;138;240;51;magheus;x
17;93;63;5;idakairias;x
18;186;113;23;epidmethion;x
19;161;219;136;lesoriai;x
20;113;166;54;naoresdia;x
21;76;156;58;nympmegaum;x
22;241;105;24;acandymtes;x
23;174;186;31;gythioprias;x
24;213;68;56;larcalliion;x
25;141;196;4;mociasessa;x
26;187;131;21;olymhiissa;x
27;79;53;33;miletmukentherna;x
28;111;150;1;amaoresder;x
29;224;88;35;milbythdia;x
30;83;29;8;nirkamartherna;x
31;220;76;130;madkimita;x
32;160;77;45;chimorgaiana;x
33;107;132;2;eretkanlis;x
34;84;115;46;didandryra;x
35;252;210;14;kameirithanmea;x
36;66;61;61;lampsahieramea;x
37;80;197;44;juolyinon;x
38;178;255;32;apollkorinine;x
39;242;150;63;doraleae;x
40;182;153;64;gytkouthena;x
41;73;254;71;megalodoruf;x
42;143;236;81;neagemos;x
43;72;162;13;chalolymtrias;x
44;80;239;69;lekkoiate;x
45;212;239;169;koridemita;x
46;114;183;6;klazgalia;x
47;205;72;100;larimanae;x
48;160;25;54;ankmarmaai;x
49;239;169;195;nemceboli;x
50;210;86;65;kimmemonoastlia;x
51;252;228;59;arthisessa;x
52;146;215;100;onkeroli;x
53;172;85;64;leslebosse;x
54;134;190;13;leproresmenus;x
55;70;86;17;kyremantintrias;x
56;144;58;29;cnikyrenesmos;x
57;222;150;51;agrinkydlia;x
58;83;146;67;eubhellesatrea;x
59;239;77;73;millimbrtherna;x
60;77;186;39;iolckoresmos;x
61;142;240;69;gaempatrea;x
62;90;170;60;helartemiana;x
63;242;99;53;lampsactlis;x
64;61;138;23;itgortai;x
65;253;179;222;mantinbyzlia;x
66;167;176;49;olbiydesmos;x
67;220;164;71;opneapetra;x
68;81;236;63;elaeresetta;x
69;78;67;0;idalmanrias;x
70;53;127;29;oenlamplia;x
71;159;77;28;lampkameiinda;x
72;216;202;44;ororopmos;x
73;129;68;53;itangonosia;x
74;135;162;13;ydeleessa;x
75;64;250;36;amakamonia;x
76;146;84;65;haliknothos;x
77;245;74;13;crocheion;x
78;145;216;12;orestchyera;x
79;189;155;20;hyelarithena;x
80;170;59;0;cleemppetra;x
81;185;246;71;nymhiethos;x
82;95;99;15;helleschaina;x
83;157;159;9;marathgaai;x
84;186;75;55;malllapithdia;x
85;241;232;50;edjukthos;x
86;90;224;48;maronaleaea;x
87;143;145;28;gormarathcum;x
88;243;71;52;gyrthcherscum;x
89;234;213;51;cythgythiine;x
90;139;225;8;aegankessa;x
91;106;70;49;kyopuslia;x
92;50;179;33;amarykacia;x
93;93;66;5;empogortyon;x
94;170;60;75;chimallica;x
95;181;60;71;athcyosse;x
96;78;227;5;koieleoas;x
97;237;161;33;achlarmos;x
98;195;149;10;nysmetaina;x
99;92;80;23;monethena;x
100;245;189;38;olymorder;x
101;117;58;41;hagkynonia;x
102;60;77;9;antichythrae;x
103;69;207;38;chammetaponiana;x
104;78;218;48;idalkatanae;x
